scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_all_volumetric2_000,bau,72.0,W_new,0.0,0.0,0.0,1399.6112350726883,0.0,1399.6112350726883,0.0,0.0,0.0,0.0,21.54385556443897,22721.444583056822,0.0,22721.444583056822,0.0,0.0,0.0,-1433333.7202217816,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,123493.45350829032,100.0,100.0,0.0,0.0,0.0,123493.45350829032,0.0,408791.90503850946
1,demo_all_volumetric2_001,bau,72.0,W_new,0.0,0.0,0.0,1368.7064075186781,0.0,1368.7064075186781,0.0,0.0,0.0,0.0,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,0.0,0.0,-1375188.9162889337,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,118483.80185499726,100.0,100.0,0.0,0.0,0.0,118483.80185499726,0.0,408791.90503850946
2,demo_all_volumetric2_002,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1399.6112350726883,0.0,1399.6112350726883,0.0,0.0,0.0,0.0,21.54385556443897,22721.444583056822,0.0,22721.444583056822,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,123493.45350829032,103409.62675153223,20083.826756758095,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
3,demo_all_volumetric2_003,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1234.9510897700181,0.0,1234.9510897700181,0.0,0.0,0.0,0.0,21.54385556443897,22721.444583056822,0.0,22721.444583056822,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,111637.92304649818,103409.62675153223,8228.296294965967,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
4,demo_all_volumetric2_004,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1260.3696456089444,0.0,1260.3696456089444,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,22721.444583056822,0.0,22721.444583056822,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,113468.05906690078,103409.62675153223,10058.43231536856,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153224,0.0,408791.90503850946
5,demo_all_volumetric2_005,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1121.1873953804047,0.0,1121.1873953804047,0.0,0.0,0.0,1.862645149230957e-11,21.54385556443897,22721.444583056822,0.0,22721.444583056822,0.0,19821.479546847902,68795.5905054234,-1200229.654348189,103446.93705044595,103409.62675153223,37.3102989137359,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.6267515322,0.0,408791.90503850946
6,demo_all_volumetric2_006,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1368.7064075186781,0.0,1368.7064075186781,0.0,0.0,0.0,1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.654348189,118483.80185499726,103409.62675153223,15074.175103465039,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.6267515322,0.0,408791.90503850946
7,demo_all_volumetric2_007,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1264.3724450276063,0.0,1264.3724450276063,0.0,0.0,0.0,1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.654348189,110971.75655564008,103409.62675153223,7562.1298041078635,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.6267515322,0.0,408791.90503850946
8,demo_all_volumetric2_008,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1207.6821242811866,0.0,1207.6821242811866,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,106890.05346189784,103409.62675153223,3480.4267103656193,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153224,0.0,408791.90503850946
9,demo_all_volumetric2_009,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1159.6748845522077,0.0,1159.6748845522077,0.0,0.0,0.0,0.0,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,103433.53220141132,103409.62675153223,23.90544987909496,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
